Job title,Experience,Technologies,Views,Salary
Full Stack (Python+Angular) Developer,3,"Python, Angular",40,
Senior Python (with Linux) Developer IRC187293,3,"Linux, Python",20,
Python developer,3,"Python, AWS",188,
Python Verification Engineer,3,"Python, L2/L3 networking, Linux Engineer, Embedded, Automated Testing",40,
Senior Backend Developer,,,35,
Python Developer,2,"Python, Python/Django/Django-rest-framework, Flask, AWS, Azure, GCP, CI/CD Pipelines",179,
Junior-Middle Python Developer,3,"Python, AWS, Kubernetes",148,
Python engineer with 3GPP Cellular (Muenchen),,,1,
Middle Full-Stack Python Developer + Angular,2,"Python, Angular",45,до $3000
Senior Python Developer,,,22,
SW Engineer with Big Data and Infrastructure experience,,"Data Engineering, Machine Learning, GoLang / Go, Python, Java, CI/CD",55,
Cпеціаліст з автоматизаціі бізнес-процесів (тількі в офіс),,"RPA  Python  XPATH  Business Analyst, HTML5, algorithms, Algorithms and Data Structures",374,
Python Solution Architect,,"Python / Django, Solution Architect, Architect",32,
Middle+/Senior Python Developer,3,Django,63,
Senior Backend Engineer (Python),,,21,
Backend Python Developer for EdTech company,3,,56,
Python (Django) Developer,3,,201,
Python Developer,3,,62,
Lead Python Engineer (K),,"Python, AWS, Docker, Apache, Jupyter Notebook, GitHub",26,
Senior Python Developer,,"Python / Django, Python",27,
Middle Full-Stack Engineer Python/React,3,,29,
Senior Python (5 years) (K),,"Python, Django, AWS, PostgreSQL, Elasctisearch, Solr, Angular",63,
Middle/Senior Python developer,,"Python, AWS, Linux, Docker, REST API",17,
Mid-Senior Fullstack Python/React Engineer,,"Python, React, SQL, GCP/AWS, Git",28,
Python developer with DevOps knowledge,,,7,
"Full Stack Developer (Python, React/Angular 2+)",3,"Python / Django, Full-stack Web Development, React, Angular 2+",41,$2500-4000
Python Developer,3,Python,40,
Python (Flask) Developer,3,"Python, Flask",42,
Full stack developer,,,77,$1000-2000
Python Developer,3,Python,72,
Junior Python Developer IRC189140,,,337,
Middle Python Software Engineer,2,,88,
Data Engineer/Analyst,,"Python, Machine Learning, Data Analisys, Data Engineer, Big Data, Data Science",121,$4000-5000
Senior Python Developer,,"AWS, Docker, Scrum, RabbitMQ, Python",30,
Tech Lead/Senior Strong FS Engineer (Python/React),,"Python, Django, React",35,
Middle+ Python developer,3,"Python, Django, Django Rest Framework, Unix",25,
Python Developer,2,"Python3, Python, Django, REST API, Blockchain",154,$1500-3000
"Python Engineer (AWS, backend) IRC188015",3,,104,
Machine Learning Research Engineer,,"Machine Learning, Data Science, computer vision",210,
Middle Python developer,3,"AI, Python",117,
Python Developer,,"Python / Django, Python, microservices architecture, Microservices",88,
Python Developer,3,"Python, SQL and No-SQL databases, containerization, continuous integration, public clouds",124,
Junior Strong/Middle Python Developer,,"Python, Python3, Python3+, Python scripting, OpenERP/ODOO, business development, Business requirements",571,до $2500
